100 99
0 1 -356630
0 2 -3945
0 3 494085
0 4 -668768
0 5 -138023
0 6 -872942
0 7 203333
0 8 19675
0 9 -333791
0 10 896922
0 11 -346339
0 12 -221463
0 13 882358
0 14 711352
0 15 368816
0 16 -798188
0 17 -264771
0 18 779612
0 19 -213822
0 20 -446092
0 21 -322663
0 22 664094
0 23 470438
0 24 967375
0 25 -609265
0 26 -907233
0 27 -711932
0 28 -462865
0 29 -851793
0 30 -60075
0 31 636443
0 32 445405
0 33 -761668
0 34 -879801
0 35 -201684
0 36 168447
0 37 631285
0 38 -623417
0 39 779746
0 40 -233675
0 41 -441717
0 42 -386276
0 43 -484497
0 44 795608
0 45 68235
0 46 566281
0 47 -961936
0 48 -822693
0 49 729614
0 50 552975
0 51 875094
0 52 -396902
0 53 200136
0 54 958461
0 55 -628640
0 56 237416
0 57 194231
0 58 -72943
0 59 290298
0 60 -382744
0 61 567945
0 62 -91897
0 63 -789040
0 64 -410758
0 65 -97412
0 66 -425098
0 67 -879365
0 68 50916
0 69 585058
0 70 904074
0 71 -2132
0 72 722849
0 73 904620
0 74 -642276
0 75 -302208
0 76 661839
0 77 802492
0 78 783700
0 79 674979
0 80 -258355
0 81 394133
0 82 940245
0 83 -375859
0 84 -326603
0 85 -893981
0 86 130727
0 87 -686317
0 88 635711
0 89 217473
0 90 362014
0 91 -514611
0 92 -530878
0 93 957856
0 94 -280850
0 95 -566927
0 96 -154922
0 97 -328496
0 98 359498
0 99 -457256
